Cart #,Title,Artist(s),Category
157804,Hate that I made you love me,Ariana Grande,A1
157802,The Cure,Olivia Rodrigo,A1
157796,Material Lover,Sienna Spiro,A1
157791,Favour,Fisher/Tones & I,A2
157800,Hit The Wall,Gracie Abrams,A2
157798,Lay Your Head,Coterie,A2
157806,"I knew it, I knew you",Taylor Swift,A2
157807,High Hopes 3000,Role Model,B
157808,Passenger,Alex Warren,B
157811,stupid song,Olivia Rodrigo,B
157813,Time Of My Life,Benson Boone,B
157770,Watching It Burn,Borderline,B
157815,Great Expectation,Sienna Spiro,E
157821,Petal,Ariana Grande,E
157812,My Body Isn't Ready,Sombr,E
157823,On My Soul,Bruno Mars,E
157814,What a life,Fisher/Florance Arman,E
157818,Be Her,Ella Langley,E
157820,Talk To Me,Robyn/Zara Larsson,N
157817,Grow Down,Luca George,N
157810,New Religon,Bebe Rexha,N
157822,Animal,KATSEYE,N
157819,Serendipity,Mel Raeburn,N
157781,Drop Dead,Olivia Rodrigo,C
157754,iloveitiloveitiloveit,Bella Kay,C
157753,Rein Me In,Olivia Dean/Sam Fender,C
157779,Earrings,Malcom Todd,C
157778,Choosin' Texas,Ella Langley,C
157780,Mr. Know It All,Teddy Swims,C
157746,Raindance,Dave/Tems,C
157766,White Keys,Dominic Fike,C
157776,Dracula,Tame Impala,C
157775,A Couple Minutes,Olivia Dean,C
157761,American Girls,Harry Styles,C
157748,Stateside [REMIX],Pink Pantheress/Zara Larsson,C
157749,Homewrecker,Sombr,C
157731,Die On This Hill,Sienna Spiro,R1
157567,Back To Friends,Sombr,R1
157573,Undressed,Sombr,R1
157743,Midnight Sun,Zara Larsson,R1
157745,The Great Divide,Noah Kahan,R1
157735,We Made It,Six60,R1
157729,Summer Rain,Drax Project,R1
157615,No Broke Boys,Disco Lines/Tinashe,R1
157617,Nice To Each Other,Olivia Dean,R1
157738,House Tour,Sabrina Carpenter,R1
157755,Fever Dream,Alex Warren,R1
157679,Man I Need,Olivia Dean,R1
157377,Girls,The Kid Laroi,R1
157726,I RUN,HAVEN/Kaitlin Aragon,R1
157611,Just Keep Watching,Tate McRae,R1
157732,Think About Us,Poppy Baskcomb/Sonny Fodera,R1
157610,Manchild,Sabrina Carpenter,R1
157734,Pretty Gyal,Coterie,R1
157672,12 to 12,Sombr,R1
157739,I Just Might,Bruno Mars,R1
157709,Speed Demon,Justin Bieber,R1
157751,Endlessly,Six60,R1
157725,Baby Steps,Olivia Dean,R1
157695,When Did You Get Hot,Sabrina Carpenter,R1
157568,Revolving Door,Tate McRae,R2
157703,The Fate Of Ophelia,Taylor Swift,R2
157707,So Easy (To Fall In Love),Olivia Dean,R2
157699,Tit For Tat,Tate McRae,R2
157274,End of Beginning,Djo,R2
157563,Love Me Not,Ravyn Lenae,R2
157213,Stick Season,Noah Kahan,R2
157436,Taste,Sabrina Carpenter,R2
157489,That's So True,Gracie Abrams,R2
